label,N,P,K,temperature,humidity,ph
banana,80 - 120,70 - 95,45 - 55,25 - 30,75 - 85,6 - 6
chickpea,20 - 60,55 - 80,75 - 85,17 - 21,14 - 20,6 - 9
coffee,80 - 120,15 - 40,25 - 35,23 - 28,50 - 70,6 - 7
cotton,100 - 140,35 - 60,15 - 25,22 - 26,75 - 85,6 - 8
grapes,0 - 40,120 - 145,195 - 205,9 - 42,80 - 84,6 - 6
kidneybeans,0 - 40,55 - 80,15 - 25,15 - 25,18 - 25,6 - 6
lentil,0 - 40,55 - 80,15 - 25,18 - 30,60 - 70,6 - 8
maize,60 - 100,35 - 60,15 - 25,18 - 27,55 - 75,6 - 7
mango,0 - 40,15 - 40,25 - 35,27 - 36,45 - 55,5 - 7
mungbean,0 - 40,35 - 60,15 - 25,27 - 30,80 - 90,6 - 7
orange,0 - 40,5 - 30,5 - 15,10 - 35,90 - 95,6 - 8
rice,60 - 99,35 - 60,35 - 45,20 - 27,80 - 85,5 - 8
